date,search
2018-08-25,71.25307
2018-08-26,47.29729
2018-08-27,34.76658
2018-08-28,24.81572
2018-08-29,35.38083
2018-08-30,39.68058
2018-08-31,50.36855
2018-09-01,91.03194
2018-09-02,42.62899
2018-09-03,26.65847
2018-09-04,32.92383
2018-09-05,32.55528
2018-09-06,36.85503
2018-09-07,45.20884
2018-09-08,60.31941
2018-09-09,41.76904
2018-09-10,31.69533
2018-09-11,31.08108
2018-09-12,32.30958
2018-09-13,33.16953
2018-09-14,46.80589
2018-09-15,59.3366
2018-09-16,42.99754
2018-09-17,24.57002
2018-09-18,29.11547
2018-09-19,28.13267
2018-09-20,29.11547
2018-09-21,44.34889
2018-09-22,44.96314
2018-09-23,34.88943
2018-09-24,27.88697
2018-09-25,42.87469
2018-09-26,38.57493
2018-09-27,27.64127
2018-09-28,43.12039
2018-09-29,49.26289
2018-09-30,41.76904
2018-10-01,30.09828
2018-10-02,40.41769
2018-10-03,42.62899
2018-10-04,28.00982
2018-10-05,32.92383
2018-10-06,54.1769
2018-10-07,47.42014
2018-10-08,55.77395
2018-10-09,43.85749
2018-10-10,33.04668
2018-10-11,33.04668
2018-10-12,50.4914
2018-10-13,64.49631
2018-10-14,49.87714
2018-10-15,26.78132
2018-10-16,42.99754
2018-10-17,32.67813
2018-10-18,34.39803
2018-10-19,49.01719
2018-10-20,63.26781
2018-10-21,46.19164
2018-10-22,37.46928
2018-10-23,28.37837
2018-10-24,34.15233
2018-10-25,38.69778
2018-10-26,63.26781
2018-10-27,100
2018-10-28,51.84275
2018-10-29,30.95823
2018-10-30,36.73218
2018-10-31,62.16216
2018-11-01,40.41769
2018-11-02,51.35135
2018-11-03,68.30466
2018-11-04,47.91154
2018-11-05,30.58968
2018-11-06,27.76412
2018-11-07,31.32678
2018-11-08,32.67813
2018-11-09,47.54299
2018-11-10,63.51351
2018-11-11,42.01474
2018-11-12,28.86977
2018-11-13,28.99262
2018-11-14,34.27518
2018-11-15,35.74938
2018-11-16,50.36855
2018-11-17,62.65356
2018-11-18,45.08599
2018-11-19,25.42997
2018-11-20,32.30958
2018-11-21,28.37837
2018-11-22,35.25798
2018-11-23,39.92628
2018-11-24,43.98034
2018-11-25,43.98034
2018-11-26,28.74692
2018-11-27,30.46683
2018-11-28,40.78624
2018-11-29,42.01474
2018-11-30,48.28009
2018-12-01,58.23095
2018-12-02,37.46928
2018-12-03,30.22113
2018-12-04,27.02702
2018-12-05,30.71253
2018-12-06,32.06388
2018-12-07,43.12039
2018-12-08,47.91154
2018-12-09,37.96068
2018-12-10,26.41277
2018-12-11,26.28992
2018-12-12,29.97542
2018-12-13,32.06388
2018-12-14,42.99754
2018-12-15,54.6683
2018-12-16,37.46928
2018-12-17,39.43488
2018-12-18,45.45454
2018-12-19,38.45208
2018-12-20,36.73218
2018-12-21,42.62899
2018-12-22,68.05896
2018-12-23,61.05651
2018-12-24,87.22358
2018-12-25,63.51351
2018-12-26,37.46928
2018-12-27,38.08353
2018-12-28,50.7371
2018-12-29,52.08845
2018-12-30,47.78869
2018-12-31,45.94594
2019-01-01,36.11793
2019-01-02,27.14987
2019-01-03,35.74938
2019-01-04,50.2457
2019-01-05,54.29975
2019-01-06,37.59213
2019-01-07,32.06388
2019-01-08,33.90663
2019-01-09,29.85257
2019-01-10,36.11793
2019-01-11,47.17444
2019-01-12,61.42506
2019-01-13,38.82063
2019-01-14,30.34398
2019-01-15,33.04668
2019-01-16,37.96068
2019-01-17,38.69778
2019-01-18,43.36609
2019-01-19,63.02211
2019-01-20,45.20884
2019-01-21,29.36117
2019-01-22,34.76658
2019-01-23,30.83538
2019-01-24,37.83783
2019-01-25,42.99754
2019-01-26,54.4226
2019-01-27,40.66339
2019-01-28,36.24078
2019-01-29,36.36363
2019-01-30,35.13513
2019-01-31,30.09828
2019-02-01,33.16953
2019-02-02,45.20884
2019-02-03,33.41523
2019-02-04,27.51842
2019-02-05,25.30712
2019-02-06,31.44963
2019-02-07,31.08108
2019-02-08,37.83783
2019-02-09,46.92874
2019-02-10,47.54299
2019-02-11,28.74692
2019-02-12,30.34398
2019-02-13,29.72972
2019-02-14,31.20393
2019-02-15,40.66339
2019-02-16,62.03931
2019-02-17,41.03194
2019-02-18,31.57248
2019-02-19,28.62407
2019-02-20,29.85257
2019-02-21,33.66093
2019-02-22,42.87469
2019-02-23,57.8624
2019-02-24,40.78624
2019-02-25,35.87223
2019-02-26,33.53808
2019-02-27,37.46928
2019-02-28,45.20884
2019-03-01,48.15724
2019-03-02,52.2113
2019-03-03,27.14987
2019-03-04,21.13022
2019-03-05,20.63882
2019-03-06,21.49877
2019-03-07,25.92137
2019-03-08,39.68058
2019-03-09,48.15724
2019-03-10,34.88943
2019-03-11,16.95331
2019-03-12,21.62162
2019-03-13,24.44717
2019-03-14,25.42997
2019-03-15,37.34643
2019-03-16,43.36609
2019-03-17,36.11793
2019-03-18,22.85012
2019-03-19,27.51842
2019-03-20,27.27272
2019-03-21,26.65847
2019-03-22,40.04914
2019-03-23,49.38574
2019-03-24,47.54299
2019-03-25,17.93611
2019-03-26,25.30712
2019-03-27,25.79852
2019-03-28,28.99262
2019-03-29,38.45208
2019-03-30,50.7371
2019-03-31,37.96068
2019-04-01,17.44471
2019-04-02,18.79606
2019-04-03,20.76167
