date,search
2021-12-01,12.33283
2021-12-02,16.49331
2021-12-03,19.91084
2021-12-04,21.84249
2021-12-05,21.6939
2021-12-06,15.60178
2021-12-07,19.01931
2021-12-08,14.85884
2021-12-09,15.89895
2021-12-10,18.42496
2021-12-11,27.34026
2021-12-12,18.72213
2021-12-13,15.00742
2021-12-14,15.3046
2021-12-15,16.04754
2021-12-16,20.65378
2021-12-17,17.08766
2021-12-18,20.95096
2021-12-19,22.58543
2021-12-20,15.45319
2021-12-21,15.15601
2021-12-22,14.85884
2021-12-23,21.39673
2021-12-24,22.43684
2021-12-25,23.32838
2021-12-26,19.76225
2021-12-27,12.63001
2021-12-28,15.75037
2021-12-29,12.48142
2021-12-30,10.84695
2021-12-31,17.08766
2022-01-01,15.60178
2022-01-02,15.89895
2022-01-03,11.58989
2022-01-04,14.85884
2022-01-05,13.07578
2022-01-06,15.15601
2022-01-07,19.01931
2022-01-08,25.85438
2022-01-09,19.1679
2022-01-10,14.41307
2022-01-11,16.19613
2022-01-12,14.71025
2022-01-13,13.67013
2022-01-14,15.89895
2022-01-15,26.44873
2022-01-16,21.09955
2022-01-17,15.45319
2022-01-18,13.67013
2022-01-19,13.37295
2022-01-20,14.26448
2022-01-21,20.65378
2022-01-22,25.40861
2022-01-23,26.74591
2022-01-24,12.63001
2022-01-25,12.33283
2022-01-26,12.63001
2022-01-27,14.11589
2022-01-28,16.6419
2022-01-29,17.68202
2022-01-30,18.42496
2022-01-31,15.3046
2022-02-01,18.42496
2022-02-02,15.3046
2022-02-03,9.95542
2022-02-04,13.67013
2022-02-05,16.49331
2022-02-06,16.49331
2022-02-07,10.99554
2022-02-08,9.95542
2022-02-09,8.02377
2022-02-10,13.22436
2022-02-11,13.96731
2022-02-12,22.13967
2022-02-13,20.35661
2022-02-14,10.84695
2022-02-15,7.87518
2022-02-16,9.36106
2022-02-17,13.81872
2022-02-18,18.12778
2022-02-19,16.93907
2022-02-20,16.49331
2022-02-21,10.2526
2022-02-22,9.50965
2022-02-23,10.84695
2022-02-24,11.58989
2022-02-25,15.00742
2022-02-26,18.42496
2022-02-27,19.61367
2022-02-28,14.11589
2022-03-01,13.52154
2022-03-02,7.13224
2022-03-03,9.95542
2022-03-04,14.56166
2022-03-05,18.87072
2022-03-06,16.19613
2022-03-07,10.99554
2022-03-08,14.11589
2022-03-09,17.08766
2022-03-10,8.17236
2022-03-11,14.56166
2022-03-12,21.6939
2022-03-13,16.79049
2022-03-14,10.54977
2022-03-15,15.15601
2022-03-16,12.18424
2022-03-17,14.56166
2022-03-18,17.23625
2022-03-19,17.68202
2022-03-20,17.38484
2022-03-21,13.07578
2022-03-22,15.89895
2022-03-23,11.88707
2022-03-24,15.3046
2022-03-25,20.80237
2022-03-26,26.74591
2022-03-27,23.32838
2022-03-28,13.52154
2022-03-29,16.04754
2022-03-30,11.29271
2022-03-31,13.96731
2022-04-01,21.54531
2022-04-02,32.68945
2022-04-03,24.21991
2022-04-04,16.6419
2022-04-05,14.85884
2022-04-06,16.49331
2022-04-07,15.60178
2022-04-08,21.24814
2022-04-09,27.93462
2022-04-10,26.8945
2022-04-11,16.49331
2022-04-12,10.69836
2022-04-13,15.45319
2022-04-14,19.61367
2022-04-15,26.00297
2022-04-16,35.06686
2022-04-17,30.16344
2022-04-18,20.05943
2022-04-19,17.23625
2022-04-20,19.76225
2022-04-21,20.35661
2022-04-22,29.4205
2022-04-23,42.1991
2022-04-24,28.0832
2022-04-25,20.95096
2022-04-26,20.05943
2022-04-27,19.01931
2022-04-28,26.44873
2022-04-29,36.55274
2022-04-30,50.52005
2022-05-01,35.06686
2022-05-02,23.32838
2022-05-03,24.21991
2022-05-04,31.05497
2022-05-05,43.98216
2022-05-06,39.6731
2022-05-07,45.17087
2022-05-08,26.8945
2022-05-09,21.6939
2022-05-10,20.05943
2022-05-11,19.76225
2022-05-12,28.38038
2022-05-13,31.05497
2022-05-14,47.54829
2022-05-15,39.52451
2022-05-16,22.73402
2022-05-17,25.85438
2022-05-18,21.54531
2022-05-19,25.40861
2022-05-20,38.3358
2022-05-21,45.31946
2022-05-22,38.03863
2022-05-23,21.24814
2022-05-24,22.28826
2022-05-25,16.6419
2022-05-26,21.09955
2022-05-27,37.74145
2022-05-28,46.21099
2022-05-29,34.32392
2022-05-30,23.62555
2022-05-31,25.85438
2022-06-01,42.49628
2022-06-02,29.27191
2022-06-03,30.46062
2022-06-04,45.76523
2022-06-05,45.91381
2022-06-06,34.76968
2022-06-07,20.05943
2022-06-08,18.72213
2022-06-09,23.47696
2022-06-10,34.02674
2022-06-11,40.86181
2022-06-12,29.12332
2022-06-13,20.65378
2022-06-14,24.21991
2022-06-15,23.47696
2022-06-16,25.40861
2022-06-17,35.51263
2022-06-18,36.99851
2022-06-19,36.70133
2022-06-20,25.40861
2022-06-21,30.46062
2022-06-22,31.64933
2022-06-23,22.88261
2022-06-24,35.66121
2022-06-25,47.84546
2022-06-26,31.64933
2022-06-27,27.04309
2022-06-28,24.21991
2022-06-29,23.0312
2022-06-30,26.30014
2022-07-01,35.66121
2022-07-02,40.41604
2022-07-03,43.23922
2022-07-04,26.00297
2022-07-05,25.26002
